年份,省份,城市,省份代码,城市代码,所属地域,胡焕庸线,地区生产总值(万元),第一产业增加值(万元),第二产业增加值(万元),第三产业增加值(万元),第一产业增加值占GDP比重(%),第二产业增加值占GDP比重(%),第三产业增加值占GDP比重(%),人均地区生产总值(元),户籍人口(万人),城镇户籍人口(万人),非农业人口数(万人),年平均人口(万人),年末总户数(万户),出生人口(人),死亡人口(人),自然增长率(‰),常住人口(万人),城镇常住人口(万人),常住人口城镇化率(%),城镇非私营单位从业人员数(万人),城镇私营和个体从业人员数(人),年末城镇登记失业人员数(人),第一产业从业人员数(万人),第二产业从业人员数(万人),第三产业从业人员数(万人),第一产业从业人员比重(%),第二产业从业人员比重(%),第三产业从业人员比重(%),农林牧渔业从业人员数(万人),采掘业从业人员数(万人),制造业从业人员数(万人),电力煤气及水生产供应业从业人员数(万人),建筑业从业人员数(万人),交通仓储邮电业从业人员数(万人),信息传输、计算机服务和软件业从业人员数(万人),批发零售贸易业从业人员数(万人),住宿餐饮业从业人员数(万人),金融业从业人员数(万人),房地产业从业人员数(万人),租赁和商业服务业从业人员数(万人),科研、技术服务和地质勘查业从业人员数(万人),水利、环境和公共设施管理业从业人员数(万人),居民服务和其他服务业从业人员数(万人),教育业从业人员数(万人),卫生、社会保险和社会福利业从业人员数(万人),文化、体育和娱乐业从业人员数(万人),公共管理和社会组织从业人员数(万人),地质勘察水利管理业从业人数(万人),交通仓储邮电通信业从业人员数(万人),批发零售贸易餐饮业从业人员数(万人),社会服务业从业人员数(万人),卫生体育社会福利业从业人员数(万人),教育文艺广播影视业从业人员数(万人),科研综合技术服务业从业人员数(万人),机关和社会团体从业人员数(万人),城镇非私营单位在岗职工平均人数(万人),城镇非私营单位在岗职工工资总额(万元),城镇非私营单位在岗职工平均工资(元),行政区域土地面积(平方公里),年末耕地总资源(千公顷),人均占有耕地面积(亩),人口密度(人／平方公里),水资源总量(万立方米),用水总量(亿立方米),地区生产总值增长率(%),规模以上服务业营业收入(万元),规模以上服务业营业收入增速(%),粮食产量(万吨),油料产量(万吨),棉花产量(万吨),蔬菜产量(吨),水果产量(吨),肉类产量(吨),奶类产量(吨),水产品产量(吨),禽蛋产量(吨),规模以上工业企业数(个),内资企业数(个),港、澳、台商投资企业数(个),外商投资企业数(个),规模以上工业总产值(当年价)(万元),内资企业工业总产值(万元),港、澳、台商投资企业工业总产值(万元),外商投资企业工业总产值(万元),从业人员年平均人数(万人),规模以上工业企业产品销售收入(万元),规模以上工业企业利税总额(万元),本年应交增值税(万元),规模以上工业企业利润总额(万元),流动资产年平均余额(万元),固定资产净值年平均余额(万元),规模以上工业企业资产总计(万元),规模以上工业企业流动资产合计(万元),规模以上工业企业固定资产合计(万元),规模以上工业企业主营业务税金及附加(万元),规模以上工业营业收入(万元),规模以上工业营业收入增速(%),固定资产投资总额(万元),房地产开发投资完成额(万元),住宅开发投资完成额(万元),社会消费品零售总额(万元),限额以上单位商品零售额(万元),限额以上批发零售业商品销售总额(万元),限额以上批发零售业法人企业数(个),当年新签项目(合同)个数(个),当年合同外资金额(万美元),当年实际使用外资金额(万美元),货物进口额(万元),货物出口额(万元),地方财政一般预算内收入(万元),工商税收(万元),地方财政一般预算内支出(万元),科学支出(万元),教育支出(万元),年末金融机构各项贷款余额(万元),年末金融机构存款余额(万元),城乡居民储蓄年末余额(万元),普通高等学校学校数(所),普通中学学校数(所),小学学校数(所),中等职业教育学校数(所),普通高等学校专任教师数(人),普通中学专任教师数(人),小学专任教师数(人),中等职业教育学校专任教师数(人),普通高等学校在校学生数(人),普通中学在校学生数(万人),小学在校学生数(万人),高中阶段在校学生数(人),初中阶段学生数(万人),普通高中学生数(万人),学前教育学生数(人),中等职业教育学校在校学生数(人),成人高等学校在校学生数(人),每万人在校大学生数(人),每万人在校中等职业学生数(人),R&D人员(人),R&D内部经费支出(万元),专利申请数(件),专利授权数(件),发明专利授权数(件),高新技术企业数(国家级)(个),技术合同成交额(万元),公共图书馆(个),剧场、影剧院数(个),公共图书馆图书总藏量(千册、件),每百人公共图书馆藏书(册、件),博物馆数(个),体育场馆数(个),卫生机构数(个),医院、卫生院数(个),医院、卫生院床位数(张),执业(助理)医师数(人),客运总量(万人),铁路旅客运量(万人),公路客运量(万人),水运客运量(万人),民用航空客运量(人),城市公共交通客运总量(万人次),客运量(公路+水路)(万人次),货运总量(万吨),铁路货物运量(万吨),公路货运量(万吨),水运货运量(万吨),民用航空货邮运量(吨),货运量(公路+水路)(万吨),年末邮政局(所)数(处),邮政业务收入(万元),电信业务收入(万元),本地电话年末用户数(万户),移动电话年末用户数(万户),国际互联网用户数(户),全年用电量(万千瓦时),工业用电(万千瓦时),城乡居民生活用电量(万千瓦时),城镇居民生活用电量(万千瓦时),境内公路总里程(公里),高速公路里程(公里),工业废水排放量(万吨),工业废水排放达标量(万吨),工业二氧化硫去除量(吨),工业二氧化硫排放量(吨),工业烟尘去除量(吨),工业烟尘排放量(吨),工业二氧化硫产生量(吨),工业烟粉尘去除量(吨),工业烟粉尘排放量(吨),工业氮氧化物排放量(吨),工业颗粒物排放量(吨),工业化学需氧量排放量(吨),工业氨氮排放量(吨),生活污水处理率(%),生活垃圾无害化处理率(%),工业固体废物综合利用率(%),一般工业固体废物综合利用率(%),污水处理厂集中处理率(%),细颗粒物(PM2.5)年平均浓度(微克/立方米),空气质量优良天数比例(%),保险业承保额(万元),城镇职工基本养老保险参保人数(人),职工基本医疗保险参保人数(人),失业保险参保人数(人),提供住宿的社会工作机构数(个),养老机构数(个),提供住宿的社会工作机构床位数(张),养老机构床位数(张),
1999,黑龙江省,伊春市,230000,230700,中部,东南侧,676912,104921,323564,247750,15.5,47.8,36.6,,131.33,,110.7,,,,,3.7,,,,33,,16144,1.1,26.16,5.98,3,79,18,1,16,8,1,2,,,,,1,0,,,,,,,,,0,1,1,0,0,1,0,1,31,130278,4189,32759,145,2,40,,,8,,,32.2,0.1,,396807,2391,,,3100,,113,,,,411413,394170,2687,14556,,353216,16311,10412,,573217,529551,,,,,,,121241,19564,,251124,,231801,,6,520,248,,,19400,,52300,,,,,,1,94,411,,118,5202,7342,,1102,7,10,,,,,,,,,,,,,,,,,6,382,29,,,,,,2332,984,689,294,,,,,1237,928,309,,,,84,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1631848,,,,,,,,
2000,黑龙江省,伊春市,230000,230700,中部,东南侧,726206,118372,358020,189540,16.3,49.3,26.1,,132.49,,111.12,,,,,7.5,,,,29,,19367,0.9,22.33,5.7,3,77,20,1,13,7,1,2,,,,,0,0,,,,,,,,,0,1,1,0,0,1,0,1,28,127700,4630,32759,146,2,40,,,7.6,,,31.2,0.12,,433865,2414,41578,12682,3369,,97,,,,424234,405189,2153,16892,18,348582,19944,13105,,547488,571088,,,,,,,118048,25354,,251000,,229101,,5,406,696,,,22000,,59900,,,,,964000,2,92,414,,195,5219,7034,,1175,7.68,8.81,,,,,,,,,,,,,,,,,6,394,30,,,92,59,4721,2321,740,444,296,,,,,907,596,311,,,,83,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1190286,,,,,,,,
2001,黑龙江省,伊春市,230000,230700,中部,东南侧,785572,129148,379588,276836,16.44,48.32,35.24,5936,132.18,,111.06,132.34,,,,3.8,,,,24,,19286,0.34,19.36,4.44,1,80,18,0,11,6,1,1,,,,,0,0,,,,,,,,,0,0,1,0,0,1,0,1,22,115378,5197,32759,152,2,40,,,,,,33.6,0.15,,349065,1878,44191,11351,3072,,87,,,,426836,389820,12172,24844,15,360139,29811,14639,,563547,539670,,,,,,,127498,29709,,266237,,226154,3,6,450,802,,,24000,,80400,,,,,1091800,2,106,343,,291,5395,6631,,1634,8.16,8.6,,,,,,,,,,,,,,,,6,6,410,31,,,89,89,4110,2264,667,368,299,,,,,873,560,313,,,,83,8551,18329,21,8,19608,,,,,,,,,,,,,,,,,,,,,,,,,,,1489198,,,,,,,,
2002,黑龙江省,伊春市,230000,230700,中部,东南侧,853472,136812,416068,300678,16.03,48.75,35.23,6464,131.88,,110.86,,,,,3,,,,23,60603,34757,0.35,18.22,4.19,2,80,18,0,12,5,1,1,,,,,0,0,,,,,,,,,0,0,0,0,0,1,0,1,21,116689,5656,32759,119,1,40,,,9.2,,,36.3,0.16,,418810,1646,57288,17478,2935,,104,,,,434861,400300,548,34013,15,382324,28454,17802,,580888,567983,,,,,,,151711,27210,26486,286717,,252737,2,7,1187,202,,,26200,,108400,,,,,1161000,3,104,314,,299,5460,6467,,1430,8.23,8.3,,,,,,,,,,,,,,,,6,6,254,19,,,84,50,4096,2335,338,30,308,,,,,535,218,317,,,,83,9374,19969,31,15,22548,,,,,,,,,,,,,,,,,,,,,100,,,,,,1328371,,,,,,,,
2003,黑龙江省,伊春市,230000,230700,中部,东南侧,950709,220564,416315,313829,23.2,43.79,33.01,7150,130.03,,111.71,,,,,1.5,,,,23,63162,30437,10.57,7.91,4.09,47,35,18,11,0,6,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,,,,,,,,,21,124610,5920,32759,150,2,40,,,9.7,,,28.8,0.28,,393828,1216,60025,20105,3555,,102,92,3,7,417714,386129,3281,28304,4,382299,33289,20922,,271005,294748,,,,,,,165672,31571,26198,263852,,13781,1,12,607,183,,,24641,,121021,469,17348,957854,1476440,1272028,3,101,265,,300,5619,6386,,1318,8,8,,,,,,,,,,,,,,,,6,6,432,33,,,82,54,4584,2392,431,113,318,,,,,527,200,327,,,,80,9901,18808,33,15,34757,,,,,,,1271,1144,699,8184,75220,27107,,,,,,,,2,24,51,,,,,,,,,,,,,
2004,黑龙江省,伊春市,230000,230700,中部,东南侧,1092023,244941,498508,348574,22.43,45.65,31.92,8403,129.57,,111.17,,,,,2.1,,,,23,72537,23219,10.92,7.64,4.47,47,33,19,11,0,6,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,,,,,,,,,21,130163,6207,32759,148,2,40,,,10.3,,,43.6,0.2,,462302,1280,62728,27391,3208,,102,92,3,7,510709,473139,3643,33927,4,483744,13555,23500,,330086,340282,,,,,,,212472,41822,33567,283376,,34163,4,13,460,352,,,21715,,152450,614,18358,898193,1575634,1317102,1,96,237,,228,5554,5987,,1870,7,8,,,,,,,,,,,,,,,,6,8,448,35,,,83,53,4739,2349,427,108,319,,,,,494,169,325,,,,79,9954,28782,47,21,56267,,,,,,,1219,1100,568,8445,98395,27382,,,,,,,,,24,79,,,,,,,,,,,,,
2005,黑龙江省,伊春市,230000,230700,中部,东南侧,1159296,288433,437518,433345,24.88,37.74,37.38,8974,128.79,,110.36,,,,,0.6,,,,22,83828,23819,11.02,7.14,4.08,50,32,18,11,0,5,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,,,,,,,,,20,130502,6410,32759,148,2,39,,,10.5,,,43.7,0.3,,433736,2526,73977,40284,4473,,136,116,8,12,579888,527150,13002,39736,5,528135,,22336,4062,304400,417916,,,,,,,294923,29427,18763,263208,,33872,4,20,1029,686,,,26363,,150645,806,21948,624114,1698737,1411094,1,88,224,,227,5370,5893,,1795,6.94,7.05,,,,,,,,,,,,,,,,6,8,467,36,,,78,53,4722,2326,628,298,330,,,,,630,295,335,,,,79,9325,40668,36,29,34714,,,,,,,1694,1516,540,9710,143386,28864,,,,,,,,,,66,,,,,,,,,,,,,
2006,黑龙江省,伊春市,230000,230700,中部,东南侧,1303332,323878,491226,488359,24.85,37.69,37.47,10156,127.74,,109.37,,,,,-0.2,,,,23,83916,21987,11.41,7.13,4.33,50,31,19,11,0,5,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,,,,,,,,,21,153095,7378,32759,176,2,39,,,11.1,,,52.7,0.5,,482428,2792,86401,62576,5660,,133,112,9,12,666083,601039,18749,46295,5,577789,,23806,17612,302884,394714,,,,,,,390322,10832,10054,289359,,32937,4,13,2013,986,,,29499,,199110,1029,33049,680627,1869245,1515425,1,84,196,,195,5309,5902,,2855,6.62,6.41,,,,,,,,,,,,,,,,8,8,533,42,,,74,50,4839,2482,670,329,341,,,,,701,355,346,,,,84,11227,46888,44,30,54645,,,,,,,1665,1501,621,10577,168555,29484,,,,,,,,0,0,60,,,,,,,,,,,,,
2007,黑龙江省,伊春市,230000,230700,中部,东南侧,1532188,397296,569514,565377,25.93,37.17,36.9,12001,127.6,,109.15,,,,,-0.4,,,,21,106854,20106,10.97,6.05,4.3,51,28,20,11,0,4,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,,,,,,,,,20,186274,9523,32759,199,,39,,,11.5,,,57.86,0.39,,439005,3159,93510,66659,5398,,142,122,8,12,834593,769925,16838,47830,4,725720,,29166,41658,368084,388634,,,,,,,507179,17431,16094,333249,,34997,2,14,5229,625,,,37626,,285930,2714,34321,738250,1989059,1554871,1,77,157,,200,5423,5831,,1925,6.31,6.23,,,,,,,,,,,,,,,,9,8,577,45,,,80,49,4886,2088,690,310,380,,,,,733,357,376,,,,88,9241,51141,43,39,64595,,,,,,,1728,1588,648,12072,219542,31127,,,,,,,,,,64,,,,,,,,,,,,,
2008,黑龙江省,伊春市,230000,230700,中部,东南侧,1790114,471516,657151,661447,26.34,36.71,36.95,14029,127.63,,109.38,,,,,-0.5,,,,18,105282,20368,9.69,4.31,4.14,53,24,23,10,0,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,,,,,,,,,17,203913,12116,32759,,,39,,,12.4,,,64.09,0.26,,370276,2360,89411,72266,3204,,157,139,7,11,1118323,1031303,22166,64854,5,1094633,,49574,98639,515651,491062,,,,,,,702888,47423,41493,404131,,117204,7,7,,1497,,,48302,,374026,3022,49724,773510,2370942,1819435,1,71,144,,200,5239,5377,,2210,6.06,5.69,32505,,,,,,,,,,,,,,,9,8,604,47,,,80,48,4744,2111,760,357,403,,,,,734,341,393,,,,84,11152,52188,32,51,82006,,,,,,,1546,1399,,9761,207776,22624,,,,,,,,,,77,,,,,,,,,,,,,
2009,黑龙江省,伊春市,230000,230700,中部,东南侧,1724616,539632,635349,549635,31.29,36.84,31.87,13530,127.31,,,127.47,,,,-1.3,,,,18,100753,22584,9.61,3.93,4.13,54,22,23,10,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,,,,,,,,,,245918,,32759,,,39,,,13.1,,,69.23,0.09,,301900,3023,90700,73100,3089,,153,133,8,12,1228940,1133304,28474,67162,4,,,48756,77374,,,,691205,713352,,,,1022369,81846,72831,476580,,170474,6,3,,2769,,,58612,,512960,3432,59050,864445,2834171,2053736,1,69,130,,209,5212,5282,,2482,5.78,5.31,22281,,,,9895,1242,20,,,,,,,,,11,8,606,48,,,740,51,4882,3142,1217,374,842,,10252,,,1357,324,1033,,,,84,14037,80488,35,56,101000,,,,,,,1129,1103,90,10086,231743,31750,,,,,,,,,79,84,,,,,,,,,,,,,
2010,黑龙江省,伊春市,230000,230700,中部,东南侧,2024407,614205,794580,615622,30.34,39.25,30.41,15924,126.95,,,127.21,,,,-2.5,,,,18,100860,21556,10.23,3.8,4.18,56,21,23,10,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,,,,,,,,,17,269688,15986,32759,,,39,,,15.7,,,80.3,0.11,,316800,3072,95700,78100,3273,42200,182,165,7,10,1945740,1806331,43615,95794,5,,,55641,100628,,,,976294,833753,,,,1535686,110433,101034,564975,,278985,24,6,,6467,,,83204,,637255,3432,72774,1040518,3366749,2377008,1,68,118,,210,5231,5242,,2047,5.71,4.96,24053,,,,10020,1230,16,,,,,,,,,18,8,607,48,,,721,56,5768,3003,1292,384,904,,43903,,,1524,421,1103,,,,84,11395,85001,24,68,350000,,,,,,,757,747,394,10515,345971,25549,,,,,,,,79,81,79,,,,,,,,,,,,,
2011,黑龙江省,伊春市,230000,230700,中部,东南侧,2296836,729016,868893,698927,31.74,37.83,30.43,18142,126.3,,,126.5,,,,-2.3,,,,19,100967,20575,10.54,4.19,4.3,55,22,23,11,0,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,,,,,,,,,18,327335,18514,32759,,,39,,,8,,,89.2,0.24,,310600,4125,104300,80800,,43600,105,95,2,8,1763132,1667050,19041,77041,,,,30909,92204,,,,1203816,951324,6368,,,1610661,176882,168364,662006,,372605,31,3,,8330,,,100258,,788943,9122,87842,1011262,3839823,2709996,1,65,107,13,210,5088,4787,292,2242,5.22,4.53,22721,,,,8835,1210,18,70,,,,,,,,18,8,742,59,,,713,55,5738,2569,1353,387,961,,40000,,,1650,465,1185,,,,84,8585,63756,25,77,350003,,,,,,,685,,,15541,,,15542,17162,17162,,,,,,81,76,,85,,,,252489,550009,121749,,,,,
2012,黑龙江省,伊春市,230000,230700,中部,东南侧,2600327,916355,879171,804801,35.24,33.81,30.95,20686,125.2,,,125.4,,,,-2.4,,,,20,102190,22254,10.36,4.21,5.33,52,21,27,10,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,,,,,,,,,18,439104,24193,32759,,,38,,,12.7,,,96.7,0.09,,322000,2997,114000,84400,2869,47000,112,101,2,9,1788176,1676923,23493,87760,,,,44530,-34340,,,,990359,1014280,8484,,,2181102,162252,148037,765165,,375642,28,5,,5676,,,123764,,936280,4350,116705,1244904,4530471,3098430,1,67,107,13,210,4930,5153,292,1104,4.91,4.4,21774,,,,3017,1010,9,24,,,,,,,,18,8,857,68,,,714,55,6043,2853,1401,384,1010,,70000,,,1718,449,1269,,,,84,10164,77711,22,81,520000,,,,,,,1438,,,17002,,,17002,15502,15502,,,,,,100,,77,85,,,,289612,604800,122749,,,,,
2013,黑龙江省,伊春市,230000,230700,中部,东南侧,2844921,997998,926591,920332,35.08,32.57,32.35,23129,123.2,,,123.5,,,,-4.1,,,,19,136586,22606,10.02,3.86,5.45,52,20,28,10,0,3,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,,,,,,,,,18,454581,24786,32759,,,38,,,9.41,,,68.84,0.04,,356300,2800,118800,86500,2720,49000,126,115,2,9,2029663,1905787,28579,95297,,,,47597,122863,,,,884497,1074574,6686,,,2564943,98054,89736,866507,,377837,27,,,6530,,,148435,,995349,5452,104165,1277673,4856809,3388803,1,56,67,13,210,4656,4335,292,1070,4.1,3.4,20228,,,,3010,980,164,24,,,,,,,,18,8,856,70,,,695,64,5621,2845,1444,395,1041,,80000,,,1844,482,1362,,,,84,11362,79687,20,83,520000,,,,,,,829,,,20250,,,20252,721281,19467,,,,,,100,,84,85,,,,287326,302712,123449,,,,,
2014,黑龙江省,伊春市,230000,230700,中部,东南侧,2560255,1065322,601148,893529,41.61,23.48,34.9,20885,122,,,122,,,,-3.7,,,,18,154412,22341,9.46,3.36,5.56,51,18,30,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,,,,,,,,,17,462765,27205,32800,,,37,,,-9.4,,,76.37,0.02,,320400,,120200,89900,3370,49200,120,112,2,6,1285376,1213167,14864,57345,,,,18487,-110374,,,,1084229,1651397,7538,,,1326112,86048,69026,979495,,8553,29,,,948,,,146429,,1029241,4182,88660,1404903,5217242,3688141,1,53,65,7,210,4545,3859,280,1060,3.95,3.08,18669,,,,1388,920,9,11,,,,,,,,,8,857,70,,,,55,6628,2703,976,,969,,70000,,,775,,775,,,,84,10610,84882,18,98,170000,,,,,,,1105,,,17543,,,17543,453674,18890,,,,,,100,,84,85,,,,293173,668900,124260,,,,,
2015,黑龙江省,伊春市,230000,230700,中部,东南侧,2481966,1065508,463383,953075,42.93,18.67,38.4,20414,121.19,,,121.58,,,,-5.4,,,,17,154126,21743,9.33,2.56,5.51,54,15,32,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,,,,,,,,,16,566046,35656,32800,,,37,,,-1.9,,,77.43,0.03,,240900,,120500,70700,3522,53300,109,103,,6,958394,911262,,47132,,,,6117,-99849,,,,1137284,1737157,12041,,,1010069,100497,66011,1076607,,440520,28,,,1050,,,142563,,1441862,4047,92242,1474257,5961490,4068991,1,53,63,7,205,4416,3842,281,1030,3.68,2.97,,,,,862,,8,7,,,,,,,,,,855,71,,,,54,6635,2518,,,972,,90000,,,,,868,,,,84,12781,68215,15,110,190000,,,,,,,1059,,,17778,,,19241,588557,15870,,,,,,100,,84,71,,,,250207,268860,124700,,,,,
2016,黑龙江省,伊春市,230000,230700,中部,东南侧,2512167,1062144,494897,955377,42.28,19.7,38.03,21043,118,,,119,,,,-3.5,,,,17,108929,22058,9.22,2.2,5.56,54,13,33,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,,,,,,,,,15,569336,36793,32800,,,,1051500,,2.9,,,73.94,0.18,,181500,,119000,66800,3649,53900,92,86,,6,894189,856990,,37199,,,,16561,-42017,,,,1176984,1611696,14454,,,762998,74515,37874,1192145,,458397,28,1,,459,,,140451,,1269338,2629,73493,1663856,6229373,4430662,1,50,51,8,199,4238,3567,491,1611,3,3,,,,,6301,,,,,,,,,,,,,1146,,,,,54,6452,2630,,,752,,120000,,,,,588,,44,,88,7611,66807,15,111,180000,,,,,,,725,,,11177,,,14862,656991,7692,,,,,,64,,70,88,,,,368000,322664,125684,,,,,
2017,黑龙江省,伊春市,230000,230700,中部,东南侧,2581400,,,,,,,22109,116,,,117,56,5192,15567,-8.9,,,,16,107082,21311,8.82,2.1,5.57,54,13,34,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,,,,,,,,,15,585261,38713,32800,,,,758500,,,,,65.54,0.23,,119700,,54700,97200,3774,33400,97,90,,7,,,,,,,,35157,100119,,,,1326786,1558457,23801,,,,81164,52322,1311844,,285764,23,,,500,,,161879,,1481757,2618,74585,1774607,6528701,4624615,1,48,48,7,196,4051,3394,369,1803,3,3,,,,,4543,,,,531,23668,198,139,10,,,,,1610,,7,17,,40,6319,2684,,,674,,140000,,,,,558,,53,,,13685,62442,,100,220000,230474,142004,,37165,,,692,,,9991,,,,,9113,9340,,,,,62,,9,89,23,,,308750,341641,125725,,,,,
2018,黑龙江省,伊春市,230000,230700,中部,东南侧,2741523,1037666,593266,1110591,37.85,21.64,40.51,23837,114,,,115,56,4413,9736,-4.7,,,,17,107381,18796,9.26,1.88,5.46,56,11,33,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,,,,,,,,,15,630141,42938,32800,,,,1075600,,6,,,78.05,0.04,,,,67600,65400,4061,41200,64,60,,4,,,,,,,,57682,154988,,,,1239548,,30352,,,,111353,87532,1416532,,260775,24,1,,587,8166,43940,178857,,1566785,1856,72629,1802087,7141539,4941571,1,48,48,8,205,3861,3184,454,3588,3,3,,,,,2979,,,,,,421,166,7,,,,,1050,,10,19,,39,6463,2681,,,598,,160000,,,,,590,,40,,,14470,123187,,104,290000,334492,232649,,43461,,,,,,,,,,,,,,,,,69,,,92,,,,307711,335484,126425,,,,,
2019,黑龙江省,伊春市,230000,230700,中部,东南侧,2990000,1104805,592319,1291381,36.95,19.81,43.19,26384,112,,,112,57,3879,8403,-4,,,,16,104136,16576,8.02,1.68,6.72,49,10,41,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,,,,,,,,,15,6524583,44953,32800,,,,1830000,,5.51,,,,,,,,,,,,63,59,,4,,,,,,,,63505,208341,,,,1116126,1015566,40340,,,,95137,85252,1112860,,278765,25,1,,,10035,27499,193438,,1750626,2140,130125,1649264,7915833,5583477,1,52,48,8,182,3941,3264,442,2392,3,2,,,,,4042,,,,675,46674,460,287,3,,,,,1020,,9,23,,43,6886,2783,,,458,,160000,,,,,601,,26,,,13677,56721,,111,380000,354682,250762,,45316,,,337,,,4160,,,,,9860,5290,,,,,91,,12,81,22,,,294834,350268,126900,,,,,
2020,黑龙江省,伊春市,230000,230700,中部,东南侧,2940000,1160124,510090,1270080,39.46,17.35,43.2,26506,,,,,,,,,87,74,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,533882,50319,,,,,1246500,,0.16,,,,,,,,,,,,63,60,,3,,,,,,,,,42467,,,,1071840,,,,,,,,1079626,,306988,29,,,,41853,21306,152430,,1985662,2258,163483,1886503,9113746,,1,52,48,8,180,3976,3437,292,4143,3,3,,,,,3286,,,,,,,381,6,,,,,1270,,8,,,39,6776,2749,,,251,,,,,,,602,,,,,,,,,,,,,,8060,167,,,,3383,,,,,,3928,,,,,95,,,100,,,,287000,369214,127700,,,,,
2021,黑龙江省,伊春市,230000,230700,中部,东南侧,3190000,1200078,600039,1379994,37.62,18.81,43.26,36982,108,94,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,642641,56718,,,,,940000,,7.3,,,,,,,,,,,,69,65,,4,,,,,,,,,150044,,,,1244727,,,,,,,,1180699,,1167769,34,,,,51285,20589,177675,,1894161,2765,181258,2052435,9889952,,1,48,46,9,270,3731,3437,267,6276,3,2,,,,,2576,,,,,,,528,15,,,,,1280,,8,,,38,6316,2477,,,122,,,,,,,710,,,,,14641,64949,,115,350000,,,,,7896,167,,,,5041,,,,,7542,7825,7542,,,,100,,,99,23,,,283600,377612,128510,148,136,9320,9136,
2022,黑龙江省,伊春市,230000,230700,中部,东南侧,3430000,1287279,636265,1506456,37.53,18.55,43.92,40664,107,93,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,727049,,,,,,1010000,,3,,,,,,,,,,,,74,70,,4,,,,,,,,,224126,,,,1224458,,,,,,,,1148115,,1250416,51,,,,55262,56512,207948,,2058798,3762,175396,2275594,11152723,,1,47,45,9,,3431,2789,279,,2,2,,,,,2217,,,,,,,405,16,,,,,1320,,9,,,40,6326,2540,,,91,,,,,,,660,,,,,28542,75012,,115,,,,,,7619,167,,,,5260,,,,,,7894,6966,,,,100,,,100,21,,,286136,377666,128015,137,125,7856,7364,
2023,黑龙江省,伊春市,230000,230700,中部,东南侧,3580000,1276986,724950,1578064,35.67,20.25,44.08,43198,,,,,,,,,82,,85.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,990000,4,3.67,106423,4.8,,,,,,,,,,,,,,,,,,,,,,378804,,,2993078,,,,2259013,-1.6,,,,1231445,174688,1412841,,,,,33383,50989,283492,,2256528,8942,167710,2378308,11905518,,,,,,,,,,7886,,2,,1,1,8444,1874,,,,,,,373,29,30,19396,,,1370,,9,,,43,6622,2553,,,,,,2751,139,,,,,,714,,33000,65826,,108,,472389,344696,67310,,7578,167,,,,4827,,,,,,7656,489385,39,7,,100,,,98,22,98.3,,696882,377211,134829,112,100,7377,6992,
1990,黑龙江省,佳木斯市,230000,230800,中部,东南侧,469300,169400,169700,130200,36.096,36.16,27.743,1680,281.29,,111.41,279.36,,,,14.8,,,,,,,46.58,36.75,36.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130931,,47393,1248,,59,,,,,,316.46,0.772,,437100,7346,,,19626,27245,,,,,,,,,,406864,35819,,,,,,,,,,,84459,,,267438,,,,12,382,1031,,,37303,36550,64784,,,,,,4,329,1975,,875,12250,19392,,5617,16.78,35.09,,,,,,4069,,,,,,,,,,10,27,610,,,,1343,,,6732,2053,637,1279,137,4375,,,1884,303,1468,113,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1171443,,,,,,,,
